,noaa,number,hpc_x,hpc_y,classification,hale_classification,numspots
2012-01-24,"11408,11405,11401,11402,11407,11409",6,"-672.87,387.9642,591.7854,507.5754,750.402,-438.9486","200.3232,300.273,336.4188,522.1146,320.835,232.5672","HSX,CSO,ESO,CKO,DSO,CAO","ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETAAGAMMA","2,5,22,11,5,3"
2012-01-25,"11408,11402,11401,11407,11405,11409",6,"-499.152,645.072,740.388,861.696,575.9118,-225.2382","214.0782,524.6412,322.8606,287.8578,274.6998,386.5032","HSX,DHI,ESO,CSO,CSO,HSX","ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,ALPHAGAMMA","2,12,22,4,3,2"
2012-01-26,"11408,11405,11402,11401,11407",5,"-283.455,710.658,760.164,857.43,921.702","224.5788,263.7186,468.246,304.5186,270.1194","HSX,CSO,DAI,CSO,BXO","ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,BETAAGAMMA,BETA-GAMMA","2,2,6,6,2"
2012-01-27,"11410,11405,11402,11408",4,"-857.334,824.214,811.554,-50.74428","304.9968,265.02,496.4334,229.9104","HSX,AXX,DSC,CSO","ALPHAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA","1,1,9,4"
2012-01-28,"11410,11402,11408",3,"-740.142,851.736,184.9698","325.1376,473.0418,229.5828","HSX,CSO,CAO","ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA","1,3,5"
2012-01-29,"11411,11410,11408",3,"-137.6058,-578.6454,409.4922","-339.843,342.339,223.4556","AXX,HSX,HAX","ALPHA,ALPHA,ALPHA","1,1,2"
2012-01-30,"11408,11413,11412,11410,11411",5,"582.7578,-596.1366,619.608,-556.2798,77.3022","213.8934,212.8386,-179.397,391.5702,-321.7572","HAX,BXO,BXO,CSO,BXO","ALPHA,BETAA,BETAA,BETAA,BETAA","2,8,4,4,6"
2012-01-31,"11408,11412,11410,11413,11411",5,"741.15,750.0,-314.3412,-362.9166,240.2688","199.2024,-209.7414,421.548,227.7984,-355.6302","HSX,AXX,HSX,DSO,BXO","ALPHA,ALPHA,ALPHA,BETAA,BETAA","3,2,4,11,6"
2012-02-01,"11408,11413,11410,11411",4,"868.644,-134.8524,-177.51,409.0434","179.1966,235.3314,395.7024,-361.44","HSX,CSO,CSO,DRO","ALPHA,BETAA,BETAA,BETAA","1,15,8,7"
2012-02-02,"11408,11411,11413,11410",4,"949.668,566.052,118.071,0.0","137.5746,-387.606,236.7126,398.5806","HSX,BXO,CSI,CSO","ALPHA,BETAA,BETAA,BETAA","1,7,24,13"
2012-02-03,"11413,11411,11410",3,"331.2312,706.14,224.9856","232.3152,-403.0518,396.6162","CSI,BXO,CSO","BETAA,BETAA,BETAA","24,7,13"
2012-02-04,"11413,11410",2,"527.1318,453.1098","222.6924,372.1536","DSO,CSO","BETAA,BETAA","15,4"
2012-02-05,"11413,11414,11410",3,"708.858,316.6122,652.062","190.2822,-1.476,341.091","DSO,BXO,CSO","BETA,BETA,BETA","9,2,2"
2012-02-06,"11413,11410,11414",3,"828.108,782.424,544.341","189.6888,339.3918,4.128156","CSO,CSO,BXO","BETA,BETA,BETA","2,3,2"
2012-02-07,"11413,11410",2,"929.628,858.036","147.621,323.6784","HRX,EAI","ALPHAGAMMA,BETA-GAMMA","1,6"
2012-02-08,"11410,11413",2,"903.702,961.428","334.692,142.1346","ESO,AXX","BETAAGAMMA,ALPHAGAMMA","3,1"
2012-02-09,"11415,11410",2,"831.546,935.016","222.5334,266.3916","CSO,DAO","BETAAGAMMA,BETAAGAMMA","5,3"
2012-02-10,"11416,11415",2,"-381.9228,917.184","-169.6176,200.0052","DAI,CSO","BETAAGAMMA,BETAAGAMMA","8,5"
2012-02-11,"11416,11417,11415",3,"-162.234,-794.478,958.14","-177.8988,354.0714,146.0856","DSI,BXO,BXO","BETA-GAMMA,BETA-GAMMA,BETAAGAMMA","17,2,2"
2012-02-12,"11416,11417",2,"32.23272,-651.264","-208.8642,345.2076","DHI,CRO","BETA-GAMMA,BETA-GAMMA","27,3"
2012-02-13,"11417,11419,11420,11418,11416",5,"-491.7048,-802.302,-885.624,-200.655,238.9602","391.3302,489.7842,257.2176,-292.914,-211.5738","CSO,CSO,HSX,BXO,EKI","BETA-GAMMA,BETA-GAMMA,ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA","5,4,1,4,16"
2012-02-14,"11420,11418,11416,11419",4,"-864.48,15.5661,449.967,-750.234","200.874,-289.4592,-203.9964,476.9442","HSX,BXO,EKO,CSO","ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA","1,5,11,2"
2012-02-15,"11418,11419,11420,11416",4,"200.5752,-580.1136,-705.69,560.5632","-291.3192,569.3832,292.929,-262.0962","BXO,DSI,HSX,EKO","BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA","6,2,1,15"
2012-02-16,"11420,11419,11416",3,"-562.59,-413.3202,754.524","276.993,558.0546,-251.9484","HSX,DSO,ESO","ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA","1,2,7"
2012-02-17,"11416,11420,11419",3,"858.102,-375.318,-280.2384","-256.9836,274.1412,551.9382","ESO,HSX,CSO","BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA","7,1,3"
2012-02-18,"11419,11420,11418,11416",4,"-89.9736,-166.2696,734.232,924.186","557.5302,298.437,-315.7212,-270.3288","CSO,HSX,BXO,HSX","BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,ALPHAGAMMA","6,1,5,1"
2012-02-19,"11418,11420,11421,11419",4,"835.848,66.7818,-797.574,74.2932","-338.3544,300.4584,340.4574,571.9314","CRO,HSX,AXX,CSO","BETA,ALPHA,ALPHA,BETA","5,1,2,4"
2012-02-20,"11418,11421,11422,11420,11419",5,"889.242,-666.03,-32.86626,263.7816,263.3058","-365.334,376.9338,365.0844,296.6718,567.4914","CSO,AXX,DAI,HSX,CSO","BETAA,ALPHA,BETAA,ALPHA,BETAA","3,2,10,1,3"
2012-02-21,"11422,11420,11421,11419",4,"178.7658,478.1784,-490.8756,438.5856","379.152,285.837,394.8354,557.7888","DAI,CSO,CRO,CRO","BETAA,BETAA,BETAA,BETAA","12,2,2,3"
2012-02-22,"11419,11420,11421,11422",4,"602.196,663.744,-307.785,382.722","514.983,268.7808,343.7604,355.845","AXX,HRX,BXO,DSI","ALPHA,ALPHA,BETAA,BETAA","1,1,4,15"
2012-02-23,"11422,11420",2,"578.8518,800.526","341.4054,248.2566","DSI,HRX","BETAA,ALPHA","10,1"
2012-02-24,"11421,11420,11422,11423",4,"98.7966,901.404,740.148,-867.912","350.2254,222.3156,321.3372,336.9048","AXX,HRX,CAO,HSX","ALPHA,ALPHA,BETAA,ALPHA","1,1,9,1"
2012-02-25,"11423,11422,11424,11420",4,"-766.278,850.326,-889.41,948.462","362.2038,298.7094,195.3948,193.9422","HSX,CAO,HRX,AXX","ALPHA,BETAA,ALPHA,ALPHA","1,4,1,1"
2012-02-26,"11422,11423,11424",3,"916.632,-618.84,-758.562","273.4182,383.7918,208.0776","CAO,HSX,CSO","BETA,ALPHA,BETAA","3,1,2"
2012-02-27,"11423,11424,11425,11426,11422",5,"-451.0212,-607.524,-192.4428,-199.3188,936.018","383.8446,211.3284,411.4956,284.8632,248.841","HSX,HRX,HRX,DRO,CAO","ALPHA,ALPHA,ALPHA,BETAA,BETAA","1,1,1,2,3"
2012-02-28,"11424,11426,11425,11423",4,"-376.488,33.34374,32.10924,-239.4936","245.418,303.8208,429.4446,410.2158","AXX,BXO,AXX,HSX","ALPHA,BETAA,ALPHA,ALPHA","1,2,1,1"
2012-02-29,"11425,11426,11423",3,"270.4656,247.185,-48.6927","409.2036,299.9298,398.7822","AXX,BXO,HSX","ALPHA,BETAA,ALPHA","1,3,1"
2012-03-01,"11426,11423",2,"491.5236,145.503","286.8576,397.5822","AXX,HSX","ALPHA,ALPHA","1,1"
2012-03-02,"11423,11427",2,"333.1638,16.39416","391.2162,367.9218","HSX,CRO","ALPHA,BETAA","1,3"
2012-03-03,"11427,11423",2,"258.8154,546.0084","363.3288,376.4382","CRO,HSX","BETAA,ALPHA","3,1"
2012-03-04,"11427,11423,11429,11428",4,"483.258,689.724,-854.67,-721.404","350.8386,359.8086,340.6662,-207.8628","CRO,HSX,DKC,CRO","BETAA,ALPHA,BETA-GAMMA,BETAA","3,1,4,4"
2012-03-05,"11429,11430,11428,11427,11423",5,"-755.562,-589.9254,-558.9312,662.862,810.876","364.0572,402.1932,-188.088,332.8128,337.8978","DKC,CRO,DSO,BXO,HSX","BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA","8,3,6,2,1"
2012-03-06,"11423,11430,11428,11429,11431",5,"899.052,-385.6008,-332.9484,-608.826,508.4442","295.1616,433.7922,-172.3134,369.8376,-348.9084","HSX,DAO,DAI,DKC,BXO","ALPHAGAMMA-DELTA,14TA-DELTA-DELTA,BETAAGAMMA-DELTA,BETA-DELTA-DELTA,BETA-DELTA-DELTA","1,5,14,20,6"
2012-03-07,"11428,11431,11430,11423,11429",5,"-146.0916,636.474,-206.5362,919.56,-450.03","-149.2548,-379.434,426.4986,296.3976,383.976","DAI,DRO,DAO,HSX,DKC","BETAADELTA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,ALPHADELTA-DELTA,BETA-GAMMA-DELTA","17,5,11,1,25"
2012-03-08,"11429,11431,11428,11430",4,"-240.2874,795.51,80.9544,0.0","394.683,-341.982,-164.9982,459.4524","DKC,DSO,DKO,DAI","BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA","28,2,16,16"
2012-03-09,"11431,11430",2,"829.122,203.8062","-424.6716,456.2742","CRO,DAO","BETA-GAMMA-DELTA,BETA-GAMMA-DELTA","2,8"
2012-03-10,"11428,11429,11430,11431,11432",5,"491.6256,207.5886,427.857,853.032,-859.17","-182.319,410.6688,430.3854,-446.4804,338.1696","DSO,EKC,DAO,CRO,HSX","BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,ALPHAGAMMA-DELTA","12,21,9,3,1"
2012-03-11,"11429,11428,11430,11432",4,"404.2908,666.72,605.298,-733.656","401.511,-200.16,429.0192,336.9246","EKC,CRO,CAO,HSX","BETA-GAMMA-DELTA,BETA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA","22,14,9,4"
2012-03-12,"11429,11428,11430,11434,11433,11432",6,"567.363,809.826,735.948,-761.292,-843.342,-598.6926","388.2252,-189.8856,395.604,-300.1074,253.5396,354.5316","EKC,CAO,CAO,DSO,DSO,CAO","BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA","22,3,6,4,3,5"
2012-03-13,"11429,11433,11434,11432,11430,11428",6,"705.3,-728.088,-619.428,-414.0348,825.246,888.33","370.9482,259.8396,-295.1574,322.6932,403.2528,-212.1426","EKC,CSO,CSO,DSO,HSX,HSX","BETA-GAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,ALPHAGAMMA-DELTA,ALPHAGAMMA-DELTA","14,2,2,9,1,1"
2012-03-14,"11434,11432,11430,11429,11433",5,"-462.747,-243.4278,886.584,812.082,-570.2028","-263.8836,346.2312,374.4636,350.4768,294.4056","DSO,DSI,HRX,EKC,CSO","BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,ALPHAGAMMA-DELTA,BETA-GAMMA-DELTA,BETAAGAMMA-DELTA","2,11,1,12,4"
2012-03-15,"11429,11433,11434,11432",4,"889.722,-368.8698,-186.8484,-49.21722","337.575,324.6066,-250.6512,349.7394","EKI,CSO,HAX,DAI","BETAAGAMMA-DELTA,BETA-GAMMA-DELTA,ALPHAGAMMA-DELTA,BETA-GAMMA-DELTA","6,9,1,19"
2012-03-16,"11433,11432,11435,11434,11429",5,"-148.2618,211.4634,167.5608,15.78984,908.844","316.2756,346.4424,-299.1372,-232.1292,321.5862","CSI,ESI,CRO,CAO,DSO","BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETAAGAMMA-DELTA","11,16,3,2,3"
2012-03-17,"11432,11434,11435,11433,11436",5,"411.8286,217.2822,356.9754,65.8392,-834.81","337.0764,-252.069,-306.7314,332.9184,-144.4056","ESI,ESO,DSO,DSO,AXX","BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,ALPHAGAMMA-DELTA","20,4,5,11,1"
2012-03-18,"11433,11437,11432,11435,11434,11436",6,"275.8242,-207.7188,590.7234,523.395,407.4948,-718.824","327.5592,-441.4464,322.341,-335.1468,-261.0966,-157.674","CSO,CSO,CRO,DSO,CRO,BXO","BETA,BETA,BETA,BETA,BETA,BETA","6,2,4,11,3,3"
2012-03-19,"11436,11434,11435,11433",4,"-551.8122,584.2722,671.172,464.5812","-138.843,-242.6508,-336.1608,236.775","BXO,DSO,DAO,HSX","BETAA,BETAA,BETAA,ALPHA","1,5,7,1"
2012-03-20,"11435,11432,11433,11434",4,"766.398,829.542,670.938,729.804","-370.2306,399.8226,265.2612,-278.6988","DSO,AXX,CSO,CAO","BETAA,ALPHA,BETAA,BETAA","7,1,4,6"
2012-03-21,"11435,11433,11438,11439,11432,11434",6,"833.46,785.88,-870.228,857.514,915.018,828.606","-390.5766,247.551,-207.1512,424.6428,255.2226,-282.6594","DSO,CRO,HSX,CRO,AXX,CSO","BETAA,BETAA,ALPHA,BETAA,ALPHA,BETAA","3,2,2,2,1,4"
2012-03-22,"11435,11433,11440,11438,11434",5,"880.002,889.404,353.502,-776.754,871.074","-388.9044,191.2254,-324.363,-168.2664,-334.107","HSX,HSX,DAI,HSX,CSO","ALPHA,ALPHA,BETA-GAMMA-DELTA,ALPHA,BETAA","2,1,5,2,2"
2012-03-23,"11441,11438,11442,11443,11440,11433",6,"721.26,-636.42,-710.016,-818.742,539.1282,939.81","-378.4056,-165.771,290.1624,316.5354,-321.9948,167.5854","AXX,HSX,AXX,AXX,DRO,AXX","ALPHAGAMMA-DELTA,ALPHAGAMMA-DELTA,ALPHAGAMMA-DELTA,ALPHAGAMMA-DELTA,BETA-GAMMA-DELTA,ALPHAGAMMA-DELTA","1,2,1,1,8,1"
2012-03-24,"11444,11443,11441,11445,11438,11440",6,"-562.137,-713.256,802.032,-854.25,-454.6254,675.576","398.5608,365.4438,-397.572,-363.5526,-133.5714,-321.6966","BXO,AXX,AXX,EAO,HAX,BXO","BETAAGAMMA-DELTA,ALPHAGAMMA-DELTA,ALPHAGAMMA-DELTA,BETAAGAMMA-DELTA,ALPHAGAMMA-DELTA,BETAAGAMMA-DELTA","4,1,1,4,2,2"
2012-03-25,"11440,11438,11443,11445,11444",5,"791.736,-242.7366,-552.5994,-777.876,-383.5776","-343.2582,-123.9414,383.8152,-340.0302,426.2478","HRX,HAX,AXX,EAO,CAO","ALPHA,ALPHA,ALPHA,BETAA,BETAA","2,1,1,4,7"
2012-03-26,"11446,11445,11438,11444,11440,11443",6,"403.4544,-694.476,-32.25348,-174.2712,856.71,-392.322","468.5754,-325.1796,-170.883,418.713,-384.3168,364.2054","BXO,FHO,HSX,CAO,HRX,AXX","BETAA,BETAA,ALPHA,BETAA,ALPHA,ALPHA","4,8,2,7,2,1"
2012-03-27,"11445,11442,11438,11444",4,"-571.0164,16.4901,163.4646,62.8884","-294.1584,310.8924,-106.4358,449.757","FAO,CSO,HSX,CSO","BETAA,BETAA,ALPHA,BETAA","7,3,1,5"
2012-03-28,"11447,11442,11445,11438",4,"715.656,212.463,-378.282,381.0486","-345.8616,307.221,-264.0804,-131.6748","CRO,DAI,ESO,CAO","BETAA,BETAA,BETAA,BETAA","5,9,6,3"
2012-03-29,"11448,11438,11445,11442",4,"-750.822,563.355,-199.899,398.9208","-234.618,-144.8148,-273.885,298.824","AXX,DRO,ESO,DAO","ALPHA,BETAA,BETAA,BETAA","1,4,5,8"
2012-03-30,"11442,11448,11438,11447,11449,11445,11443",7,"616.266,-604.974,726.72,862.572,268.3626,0.0,442.9758","297.3006,-199.653,-163.617,-369.2472,-194.8542,-271.9896,295.4472","DSO,DAO,CSO,AXX,DRO,FSO,CSO","BETAA,BETAA,BETAA,ALPHA,BETAA,BETAA,BETAA","7,2,4,2,4,9,2"
2012-03-31,"11438,11445,11449,11448,11442,11443",6,"850.026,201.24,472.4028,-447.171,762.12,652.236","-169.6764,-259.155,-205.9506,-187.6782,262.3782,292.7526","CSO,CSO,CAO,CAO,DAO,BXO","BETAA,BETAA,BETAA,BETAA,BETAA,BETAA","2,4,3,3,5,2"
2012-04-01,"11443,11451,11449,11450,11442,11445,11448",7,"812.106,-735.3,670.104,-573.0456,859.638,389.0946,-238.755","268.395,342.6534,-224.739,331.1688,242.2302,-283.6254,-178.9032","CRO,CRO,CRO,CRO,DSO,CSO,BXO","BETA,BETA,BETA,BETA,BETA,BETA,BETA","3,4,4,5,4,3,3"
2012-04-02,"11443,11449,11450,11445",4,"896.472,792.63,-345.3024,626.928","260.0184,-243.9036,376.3578,-303.2766","CRO,DSO,BXO,HSX","BETA,BETAA,BETAA,ALPHA","2,3,4,1"
2012-04-03,"11453,11449,11445,11452,11450",5,"-32.18052,878.676,764.646,-665.592,-112.923","-177.1824,-266.9952,-306.8274,380.7528,366.7884","CSO,DSO,HSX,DSO,DSO","BETAA,BETAA,ALPHA,BETAA,BETAA","4,3,1,2,7"
2012-04-04,"11453,11450,11445,11452",4,"175.8792,64.6188,842.538,-498.7854","-179.9076,366.2952,-325.6932,380.7648","BXO,DSI,HSX,DSO","BETAA,BETAA,ALPHA,BETAA","5,13,1,3"
2012-04-05,"11445,11450,11453,11452",4,"894.69,299.8698,432.4236,-298.215","-336.6972,375.3918,-190.7322,390.7908","HSX,DSI,AXX,DSI","ALPHA,BETAA,ALPHA,BETAA","1,11,2,6"
2012-04-06,"11452,11450",2,"-79.8282,478.8588","394.8978,334.1718","DRO,ESI","BETA-GAMMA,BETA-GAMMA","5,14"
2012-04-07,"11452,11450",2,"127.4328,653.616","393.2064,333.7452","CRO,ESI","BETA-GAMMA,BETA-GAMMA","4,15"
2012-04-08,"11450,11452",2,"795.276,359.541","297.9852,369.7608","CSI,BXO","BETA-GAMMA,BETA-GAMMA","14,4"
2012-04-09,"11452,11450",2,"553.3164,894.9","356.7132,272.076","BXO,HSX","BETAAGAMMA,ALPHAGAMMA","4,1"
2012-04-10,"11450,11452",2,"925.134,709.842","246.5484,354.8952","HSX,BXO","ALPHAGAMMA,BETAAGAMMA","1,3"
2012-04-11,"11452,11454",2,"826.824,-878.244","334.4382,-181.8192","AXX,CRO","ALPHAGAMMA,BETAAGAMMA","2,2"
2012-04-12,"11455,11454",2,"-132.8382,-775.356","212.415,-161.7882","CAO,CRO","BETAAGAMMA,BETAAGAMMA","6,2"
2012-04-13,"11456,11454,11455",3,"293.8416,-640.17,83.2746","-241.4472,-129.8154,195.1776","BXO,CRO,DAI","BETAAGAMMA,BETAAGAMMA,BETAAGAMMA","4,3,13"
2012-04-14,"11457,11455,11454",3,"-583.371,310.2846,-411.6804","423.7764,205.4352,-115.2876","BXO,DAI,AXX","BETA-GAMMA,BETA-GAMMA,ALPHAGAMMA","4,15,1"
2012-04-15,"11457,11455,11459,11458",4,"-420.4626,533.571,-907.176,-892.842","419.1726,176.8542,-229.2768,147.7578","CRO,DAI,HRX,BXO","BETA,BETA,ALPHA,BETA","4,18,1,2"
2012-04-16,"11455,11454,11459,11458,11457",5,"686.922,0.0,-827.286,-780.474,-216.6876","146.847,-108.519,-223.9764,152.1474,425.6736","DSI,AXX,DAI,BXO,AXX","BETAA,ALPHA,BETAA,BETAA,ALPHA","19,1,3,2,2"
2012-04-17,"11458,11457,11460,11455,11459",5,"-625.428,-47.17806,-595.0878,816.246,-766.98","167.8062,411.7824,314.0394,146.0322,-197.8446","BXO,AXX,CRO,FSI,FHI","BETAA,ALPHA,05TAA,BETAA,BETAA","2,1,2,16,12"
2012-04-18,"11459,11462,11460,11455,11461",5,"-595.0542,107.607,-403.9968,931.446,-851.562","-180.912,-291.5292,340.2732,101.3934,249.5886","DAO,CAO,DSO,CAO,HSX","BETAA,BETAA,BETAA,BETAA,ALPHA","11,7,6,3,1"
2012-04-19,"11459,11461,11463,11460,11462",5,"-432.6096,-714.63,506.1852,-191.6232,270.6594","-188.5182,269.4486,-354.3744,345.8262,-311.9436","EKC,HSX,DSO,DSI,CAO","BETAA,ALPHA,BETAA,BETAA,BETAA","20,1,5,13,7"
2012-04-20,"11463,11461,11464,11462,11460,11459",6,"649.338,-559.3044,-15.39672,450.8016,16.08228,-192.5472","-367.0158,297.7182,452.511,-320.4396,346.2594,-165.4308","CSO,CSO,BXO,DSO,DSI,DAI","BETAA,BETAA,BETAA,BETAA,BETAA,BETAA","9,2,2,8,14,27"
2012-04-21,"11459,11461,11464,11460,11463,11465,11462",7,"-16.08156,-381.1764,198.3792,239.5626,778.8,-576.3192,624.024","-181.4796,274.3362,449.0598,326.3202,-385.26,-215.7666,-349.4862","DAI,BXO,BXO,DKC,CSO,DAO,DHO","BETAA,BETAA,BETAA,BETAA,BETAA,BETAA,BETAA","40,2,2,19,9,6,14"
2012-04-22,"11462,11459,11465,11463,11461",5,"748.764,208.2096,-415.8516,842.484,-130.4376","-348.24,-168.4794,-207.8646,-402.7368,279.3294","DHO,EAC,DSO,CSO,BXO","BETA,BETA,BETA,BETA,BETA","9,39,13,3,2"
2012-04-23,"11462,11459,11460,11465,11466",5,"829.83,390.9408,591.2298,-220.3968,-454.0194","-363.9822,-175.2156,323.0718,-219.2826,268.416","DHO,DKI,DKO,DAI,CSO","BETA,BETA,BETA,BETA,BETA","4,24,13,16,11"
2012-04-24,"11460,11466,11465,11459,11462",5,"743.34,-227.4072,15.89736,596.7684,861.294","307.8924,258.669,-218.4378,-170.934,-395.412","DKO,DAO,DKI,EKI,DHO","BETA,BETA,BETA,BETA,BETA","14,14,37,39,4"
2012-04-25,"11460,11465,11469,11468,11467,11462,11459,11466",8,"831.906,188.2122,-826.542,-196.608,-880.764,860.442,724.092,-16.34472","294.2646,-237.711,-313.5312,225.4506,253.6884,-407.5962,-215.9958,275.5158","DSO,DKO,CAO,DAO,HSX,DHO,EKI,DSO","BETA,BETA-GAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,ALPHAGAMMA-DELTA,BETA,BETA,BETA-GAMMA-DELTA","10,20,10,10,2,4,25,8"
2012-04-26,"11460,11468,11459,11466,11467,11469,11465",7,"909.702,32.79294,831.864,195.3432,-786.918,-744.372,401.1318","257.6208,257.8614,-231.0192,256.2258,300.5592,-252.2184,-212.4504","CSO,DSO,EAI,DAO,BXO,BXO,DKO","BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA","6,11,20,8,4,6,12"
2012-04-27,"11460,11466,11468,11465,11469,11467,11459",7,"918.696,410.1498,277.0332,572.2356,-572.9088,-655.68,896.718","241.9242,264.7434,204.3996,-238.6464,-335.4708,282.3162,-246.981","CSO,CSI,DSO,DSI,CSO,CSO,DSI","BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA,BETAAGAMMA-DELTA","1,9,12,11,3,1,10"
2012-04-28,"11466,11465,11468,11469,11459,11467",6,"577.6506,729.456,472.2114,-410.0868,900.282,-497.3376","239.0514,-235.8708,212.43,-328.0566,-306.8184,243.4776","CSO,DAI,DAO,DSO,CAO,DSO","BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETA-GAMMA-DELTA,BETAAGAMMA-DELTA,BETA-GAMMA-DELTA","8,11,6,6,4,4"
2012-04-29,"11470,11471,11468,11467,11469,11466,11465",7,"-798.24,-824.988,629.58,-289.0464,-218.7672,725.862,828.906","-244.743,-348.867,218.3508,265.581,-244.0674,242.4504,-266.0382","CSO,HSX,DSO,CSO,DSI,CSO,DAI","BETA-GAMMA,ALPHAGAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA","3,2,6,6,13,6,12"
2012-04-30,"11468,11471,11466,11469,11467,11470,11472,11465",8,"767.448,-736.746,842.226,15.78006,-65.2458,-671.37,-536.9574,892.428","221.3598,-336.4794,243.0066,-243.6126,267.2814,-216.2004,-414.447,-281.9958","BXO,CHO,DSO,DSO,HRX,CSO,BXO,CSO","BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA","2,5,6,10,1,3,3,4"
2012-05-01,"11469,11472,11466,11471,11470,11467",6,"217.305,-382.9638,917.478,-625.962,-489.0618,145.7082","-263.1348,-393.0702,209.1924,-311.5218,-190.119,280.9188","ESO,DAO,DSO,EHO,BXO,BXO","BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA","18,14,3,4,2,3"
2012-05-02,"11467,11472,11471,11466,11469,11473",6,"334.9338,-204.0888,-498.5856,937.026,390.9768,548.8362","259.6416,-389.7672,-289.3266,164.8128,-285.0306,-291.8526","BXO,DAO,EHO,DSO,DAO,CAO","BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA","3,7,9,4,10,6"
2012-05-03,"11469,11474,11471,11467,11472,11470,11473",7,"552.972,-873.96,-290.3562,533.583,-14.72118,-112.4904,711.204","-325.2012,250.5822,-283.6266,266.5986,-389.52,-183.8244,-304.227","ESO,HSX,EHO,BXO,ESO,BXO,DSO","BETA-GAMMA,ALPHAGAMMA,BETA-GAMMA,BETAAGAMMA,BETA-GAMMA,BETA-GAMMA,BETA-GAMMA","12,1,8,3,7,3,5"
2012-05-04,"11474,11470,11473,11472,11469,11475,11471",7,"-722.328,112.4628,824.664,175.3158,666.144,-830.484,-31.52394","299.9982,-185.4588,-318.375,-392.1858,-381.057,113.6742,-249.9558","HRX,BXO,CSO,BXO,CAO,HSX,CKO","ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA","1,10,5,3,10,1,7"
2012-05-05,"11472,11471,11469,11474,11475,11470,11473",7,"342.7944,156.804,762.474,-595.0272,-715.806,315.4686,877.896","-397.0812,-252.414,-375.4554,276.4482,139.9572,-190.236,-313.719","BXO,HHX,DAO,HRX,CAO,CRO,DAO","BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,ALPHAGAMMA,BETAAGAMMA,BETAAGAMMA,BETAAGAMMA","2,7,5,1,2,7,7"
2012-05-06,"11475,11474,11473,11476,11470,11469,11471",7,"-598.9074,-464.8998,893.304,-865.77,474.7644,833.388,367.0788","113.1726,265.14,-323.5506,171.9024,-196.5492,-404.166,-258.009","AXX,AXX,AXX,DKO,BXO,CSO,DAO","ALPHA,ALPHA,ALPHA,BETAA,BETA,BETA,BETA","1,1,1,3,2,2,8"
